id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1245123189262467074,cnthaveyou
1245122792514879494,jaylawrence__
1245122567112884229,kateflood
1245122564944465920,liamxavier95
1245122451706728450,mdeuk
1245122022251913225,ekulkun
1245121845327728641,skearn3y
1245121765476573187,edkidd01
1245121320796463104,jess_emily2
1245121222091956225,eddyhman
1245120961990537217,cathbowerman
1245120896622346249,luketharrison
1245120853890732036,aschwibach
1245120826778816512,trudiowen
1245120656301330437,reezlon_don
1245120281724641281,jcsmmurty
1245120233142132736,pandsreid
1245120166754758659,diabeto1201
1245119893210619907,dicebardublin
1245119751308881922,zonj3records
1245119686779580426,elliotmur
1245119632001949702,mickvannergens
1245119554981892096,harry_gibbons15
1245119529467949056,shonaclancy
1245119503857594371,cherrybee_books
1245119468365381633,athinim
1245119454859665408,sophieletitia
1245119365932101633,janebramley
1245119245253586944,citysleuth
1245119113082568704,tanky7
1245119023257391104,paula_artist6
1245118265967415296,u2history
1245118258677788674,steveallen__
1245118208455118848,asbaibadr
1245118136074076164,arte_nicola
